center_x,center_y,label,orientation,avg_height,orig_index
21359,1839,house,90.0,113.80736541748047,505
21026,1838,platform_large,50.71058654785156,115.68673706054688,506
20929,1830,platform_small,90.0,117.07475280761719,507
21369,1791,house,90.0,114.8154067993164,508
21455,1788,ruin_small,90.0,112.5912094116211,509
21360,1778,ruin_small,90.0,114.74739837646484,510
21365,1764,house,90.0,114.99992370605469,511
21342,1778,cluster_houses,33.11134338378906,115.03854370117188,512
21325,1760,palace,90.0,114.35511016845703,513
21338,1753,ruin_small,90.0,114.22461700439453,514
20950,1749,house,90.0,117.8975601196289,515
20985,1740,house,90.0,116.3662109375,516
20930,1741,cluster_houses,24.443954467773438,117.8931884765625,517
21401,1719,platform_large,90.0,114.47694396972656,518
21207,1694,cluster_houses,90.0,116.19548034667969,519
20999,1694,unknown_large_building,90.0,117.5259017944336,520
21097,1692,cluster_houses,63.43495178222656,116.33260345458984,521
20972,1678,house,90.0,118.36327362060547,522
21387,1672,house,90.0,115.1650161743164,523
21025,1665,house,90.0,116.60540771484375,524
21241,1662,platform_large,84.2894058227539,116.33685302734375,525
21176,1663,house,90.0,116.52867889404297,526
21194,1660,house,90.0,116.88690948486328,527
20987,1661,house,84.80557250976562,118.03248596191406,528
21002,1658,platform_large,90.0,117.50739288330078,529
21469,1651,ruin_small,90.0,115.2645492553711,530
21197,1645,ruin_small,90.0,116.9890365600586,531
21225,1646,house,90.0,116.72727966308594,532
21443,1646,ruin_small,90.0,115.53704833984375,533
21330,1634,platform_large,3.5763344764709473,116.30868530273438,534
21210,1632,double_house,5.19442892074585,117.15202331542969,535
21457,1625,double_house,12.994616508483887,116.31011962890625,536
21292,1604,platform_large,90.0,116.4434814453125,538
20996,1599,house,90.0,117.77965545654297,539
21114,1596,cluster_houses,85.8150863647461,117.78748321533203,540
21160,1574,platform_large,90.0,118.51752471923828,541
20967,1556,unknown_large_building,5.19442892074585,118.13191223144531,543
21142,1550,unknown_elongated_building,90.0,118.3104248046875,544
21239,1549,ruin_small,90.0,117.83855438232422,545
21167,1546,platform_large,90.0,118.40089416503906,546
21118,1541,ruin_small,90.0,117.79390716552734,547
21256,1543,unknown_large_building,52.12501525878906,118.3961410522461,548
21143,1538,platform_large,4.763641834259033,118.99015808105469,549
21376,1537,ruin_small,8.13010311126709,116.97942352294922,550
20753,1531,platform_large,90.0,118.87494659423828,551
21364,1539,platform_large,81.8698959350586,117.29523468017578,552
20974,1523,platform_large,36.86989212036133,117.86272430419922,553
21363,1515,house,90.0,116.27973937988281,554
21115,1514,palace,90.0,119.43685150146484,555
21136,1508,ruin_small,90.0,118.27288818359375,556
21218,1494,ruin_small,90.0,117.73411560058594,557
21055,1529,unknown_elongated_building,87.70938873291016,118.39969635009766,558
